	"nt",		"aa",		"charge",	"taylor"
"a",	"red",		"#FFCC33",	"grey42",	"#CCFF00"
"c",	"blue",		"#CC3333",	"grey42",	"#FFFF00"
"d",	"orchid",	"#3333CC",	"red",		"#FF0000"
"e",	"orchid",	"#3333CC",	"red",		"#FF0066"
"f",	"orchid",	"magenta",	"grey42",	"#00FF66"
"g",	"black",	"#FFCC33",	"grey42",	"#FF9900"
"h",	"orchid",	"blue",		"blue",		"#0066FF"
"i",	"orchid",	"green",	"grey42",	"#66FF00"
"k",	"orchid",	"#006699",	"blue",		"#6600FF"
"l",	"orchid",	"green",	"grey42",	"#33FF00"
"m",	"orchid",	"#339933",	"grey42",	"#00FF00"
"n",	"orchid",	"#006699",	"grey42",	"#CC00FF"
"o",	"cyan",		"cyan",		"cyan",		"#00FFFF"
"p",	"orchid",	"yellow",	"grey42",	"#FFCC00"
"q",	"orchid",	"#006699",	"grey42",	"#FF00CC"
"r",	"orchid",	"#006699",	"blue",		"#0000FF"
"s",	"orchid",	"#FFCC33",	"grey42",	"#FF3300"
"t",	"green",	"#FFCC33",	"grey42",	"#FF6600"
"u",	"green",	"transparent",	"transparent",	"transparent"
"v",	"orchid",	"green",	"grey42",	"#99FF00"
"w",	"orchid",	"magenta",	"grey42",	"#00CCFF"
"x",	"orchid",	"grey67",	"magenta",	"#FF00FF"
"y",	"orchid",	"magenta",	"grey42",	"#00FFCC"
"z",	"orchid",	"red",		"magenta",	"#FF00FF"
"!",	"red",		"red",		"#FF0000",	"orange"
"#",	"red",		"red",		"magenta",	"orange"
"$",	"red",		"red",		"magenta",	"orange"
"%",	"grey",		"black",	"#000000",	"grey"
"+",	"blue",		"blue",		"#0000FF",	"orange"
"-",	"transparent",	"transparent",	"black",	"black"
".",	"transparent",	"grey",		"magenta",	"transparent"
"=",	"transparent",	"transparent",	"transparent",	"grey"
"?",	"grey",		"magenta",	"magenta",	"orange"
"@",	"grey",		"grey",		"grey",		"grey"
"^",	"magenta",	"grey42",	"grey42",	"grey42"
"_",	"red",		"red",		"#FF0000",	"grey"
